,nim,mori,mobs,sep,ein,fs,frac_sh_trunc,mmin,flag_out,zs,xs,ys,m_type_sh,zl_sh,mass_sh,xl_sh,yl_sh,elip_sh,pol_sh,param1_sh,m_type_sat,zl_sat,mass_sat,xl_sat,yl_sat,elip_sat,pol_sat,param1_sat,m_type_hh,zl_hh,mass_hh,xl_hh,yl_hh,elip_hh,pol_hh,param1_hh,m_type_cen,zl_cen,mass_cen,xl_cen,yl_cen,elip_cen,pol_cen,param1_cen,m_type_pert,zl_pert,mass_pert,xl_pert,yl_pert,elip_pert,pol_pert,param1_pert,vel_disp
692,3.0,19.99,21.17688,0.5052973,0.2209869,0.0,-1.0,19.18867,1.0,3.23,0.09303373,0.1627717,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.483,432513800000.0,0.0,0.0,0.1001327,-135.0055,5.795064,1.0,0.483,13532430000.0,0.0,0.0,0.3042155,-170.9759,0.09784658,2.0,0.483,3.23,0.0,0.0,0.09648388,-15.99336,0.0,89.83424905530578
694,3.0,22.19,22.54747,1.58275,0.7185519,0.0,-1.0,21.21573,1.0,1.84,0.3545855,-0.2115954,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.451,3587755000000.0,0.0,0.0,0.1081343,-160.5873,7.596209,1.0,0.451,81570670000.0,0.0,0.0,0.1417597,-157.9087,0.1919572,2.0,0.451,1.84,0.0,0.0,0.01474557,167.7571,0.0,165.9865197319665
696,3.0,20.65,21.59391,0.3939234,0.190918,0.0,-1.0,20.14054,1.0,2.04,0.004431397,0.1227531,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.536,347536200000.0,0.0,0.0,0.3327378,113.9788,6.166821,1.0,0.536,8539360000.0,0.0,0.0,0.3366102,131.9776,0.06015707,2.0,0.536,2.04,0.0,0.0,0.1104263,139.8183,0.0,87.24916308593976
699,3.0,22.11,23.03615,0.3907391,0.1645321,0.0,-1.0,21.64838,1.0,1.23,-0.1212849,-0.02448577,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.449,402717000000.0,0.0,0.0,0.2383286,-50.88333,6.372589,1.0,0.449,11955240000.0,0.0,0.0,0.5291675,-37.94322,0.1013392,2.0,0.449,1.23,0.0,0.0,0.08760186,-18.11393,0.0,85.55392076915261
700,3.0,23.41,22.76741,0.2872519,0.1240196,0.0,-1.0,22.60166,1.0,1.24,0.04685427,-0.0534911,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.583,513440900000.0,0.0,0.0,0.3851109,174.8861,6.727729,1.0,0.583,14840660000.0,0.0,0.0,0.3303477,163.8638,0.1575245,2.0,0.583,1.24,0.0,0.0,0.03908937,-64.53189,0.0,80.1764195136183
701,3.0,21.97,21.84572,1.682684,0.8201132,0.0,-1.0,20.6719,3.0,2.89,-0.01018714,0.2290126,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.303,8380161000000.0,0.0,0.0,0.3483347,162.6226,7.655569,1.0,0.303,91532820000.0,0.0,0.0,0.3300529,158.9883,0.4579442,2.0,0.303,2.89,0.0,0.0,0.04754546,-27.62824,0.0,153.89459219916137
704,3.0,20.51,21.03889,1.782522,0.6537039,0.0,-1.0,20.00463,1.0,1.94,0.554412,-0.1552758,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.674,4857075000000.0,0.0,0.0,0.4734262,-10.90022,7.395673,1.0,0.674,93306610000.0,0.0,0.0,0.1244654,-32.97818,0.1956574,2.0,0.674,1.94,0.0,0.0,0.09603746,-11.84586,0.0,168.12954018464876
708,5.0,23.87,22.88395,0.6813772,0.3211087,0.0,-1.0,21.9906,3.0,2.56,-0.01326011,0.0316741,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.583,4132741000000.0,0.0,0.0,0.2712993,-92.5962,3.122389,1.0,1.583,58104760000.0,0.0,0.0,0.1033395,-128.0018,0.04170463,2.0,1.583,2.56,0.0,0.0,0.09425745,100.3086,0.0,229.99150908181267
709,5.0,23.99,21.63593,7.579999,4.228389,0.0,-1.0,20.96408,3.0,5.27,0.1834508,0.6775637,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.43,57426440000000.0,0.0,0.0,0.1602449,-163.4269,8.119313,1.0,0.43,329104600000.0,0.0,0.0,0.4286164,-263.4721,0.3807574,2.0,0.43,5.27,0.0,0.0,0.120149,-31.27746,0.0,269.47397439483467
712,5.0,21.37,19.16481,2.005486,0.8608907,0.0,-1.0,18.97813,3.0,3.58,-0.05179372,-0.003995381,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.801,18081530000000.0,0.0,0.0,0.1483149,-65.52905,2.393972,1.0,0.801,176610300000.0,0.0,0.0,0.2972557,-1.213795,0.1305981,2.0,0.801,3.58,0.0,0.0,0.07512096,83.83591,0.0,242.30300693944494
713,3.0,22.71,23.13743,0.9651938,0.4384793,0.0,-1.0,22.1166,1.0,4.04,0.1612669,0.2010848,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.704,3071502000000.0,0.0,0.0,0.05474179,158.874,3.063159,1.0,1.704,58199180000.0,0.0,0.0,0.4587142,112.8493,0.08046829,2.0,1.704,4.04,0.0,0.0,0.1992728,-143.8013,0.0,170.6932627439193
714,5.0,24.15,22.34541,9.82903,3.426674,0.0,-1.0,22.13991,3.0,4.4,-0.06095412,-0.3728261,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.439,251674000000000.0,0.0,0.0,0.3191558,3.158379,3.551497,1.0,0.439,501223300000.0,0.0,0.0,0.1297015,-25.01397,0.9214465,2.0,0.439,4.4,0.0,0.0,0.08212747,-35.51254,0.0,255.31355743373186
718,3.0,24.01,22.06465,0.6400269,0.3411117,0.0,-1.0,21.85647,3.0,2.15,-0.02487316,0.008066194,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.519,4273710000000.0,0.0,0.0,0.1473923,133.6773,7.323116,1.0,1.519,79828320000.0,0.0,0.0,0.3051576,133.6004,0.07471999,2.0,1.519,2.15,0.0,0.0,0.02100878,25.17817,0.0,213.78660719927012
722,3.0,23.99,22.73174,1.891029,0.9446608,0.0,-1.0,21.92258,3.0,2.58,0.1987227,0.2069414,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.513,28905090000000.0,0.0,0.0,0.1830956,-81.69469,4.620956,1.0,0.513,163943200000.0,0.0,0.0,0.2394606,-23.4737,0.8038987,2.0,0.513,2.58,0.0,0.0,0.07114053,-172.0688,0.0,178.44535711197224
725,3.0,21.11,22.43578,0.5556799,0.2756818,0.0,-1.0,20.67048,1.0,1.61,-0.03777729,0.1999675,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.171,1453700000000.0,0.0,0.0,0.3741278,95.68485,3.52053,1.0,1.171,52654900000.0,0.0,0.0,0.1867827,118.5732,0.01882447,2.0,1.171,1.61,0.0,0.0,0.08484341,161.2619,0.0,326.75721003079826
726,3.0,21.19,20.31211,4.207447,1.928614,0.0,-1.0,19.40745,3.0,2.64,0.563202,-0.1018984,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.768,59292870000000.0,0.0,0.0,0.09675701,-169.9075,4.272503,1.0,0.768,380508700000.0,0.0,0.0,0.2689126,-150.7749,0.1975645,2.0,0.768,2.64,0.0,0.0,0.1017149,115.2195,0.0,302.33566314870245
727,3.0,20.49,20.88552,0.5664329,0.2700459,0.0,-1.0,19.61772,1.0,1.93,-0.06120935,0.1014483,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.332,1672534000000.0,0.0,0.0,0.2993905,-113.0593,4.280256,1.0,1.332,57529440000.0,0.0,0.0,0.1760838,-146.235,0.03546895,2.0,1.332,1.93,0.0,0.0,0.05312822,-109.249,0.0,248.09168679704607
729,5.0,20.53,18.8227,0.7641744,0.52137,0.0,-1.0,18.05087,3.0,1.77,0.02432084,-0.01593079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.773,1023293000000.0,0.0,0.0,0.1076582,-67.99451,10.04539,1.0,0.773,48347220000.0,0.0,0.0,0.4691416,-83.8084,0.1336566,2.0,0.773,1.77,0.0,0.0,0.01066501,-149.1491,0.0,141.04496014123893
733,3.0,23.81,22.57444,1.306957,0.5139594,0.0,-1.0,21.74553,3.0,3.9,-0.1794992,0.02931987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.343,2206513000000.0,0.0,0.0,0.3126061,10.14042,10.77575,1.0,0.343,58074400000.0,0.0,0.0,0.3985467,9.632258,0.4799046,2.0,0.343,3.9,0.0,0.0,0.06804257,118.0965,0.0,132.90893499148444
736,3.0,20.21,22.40094,2.254409,0.9260277,0.0,-1.0,19.93154,1.0,2.19,0.9479044,-0.6224798,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.217,1893429000000.0,0.0,0.0,0.2281581,-55.29915,7.420652,1.0,0.217,66134690000.0,0.0,0.0,0.260477,-58.07438,0.2159135,2.0,0.217,2.19,0.0,0.0,0.09275877,156.0397,0.0,170.94807644697843
738,3.0,20.83,21.1981,1.119822,0.4901244,0.0,-1.0,19.77821,1.0,1.94,0.2231266,0.1831604,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.551,1217255000000.0,0.0,0.0,0.1533847,-12.51768,11.0104,1.0,0.551,62391310000.0,0.0,0.0,0.3172889,-21.17162,0.2170183,2.0,0.551,1.94,0.0,0.0,0.008423497,-9.411955,0.0,142.16036158910381
742,3.0,21.73,22.13675,1.108058,0.5067953,0.0,-1.0,20.5999,1.0,1.45,0.1120882,-0.2311481,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.573,3292915000000.0,0.0,0.0,0.2606957,-113.4044,5.56955,1.0,0.573,64223140000.0,0.0,0.0,0.1701877,-167.8456,0.09510664,2.0,0.573,1.45,0.0,0.0,0.01992854,17.66987,0.0,184.8091441306748
743,3.0,22.21,21.8499,1.064018,0.5592994,0.0,-1.0,21.03267,1.0,2.27,0.115891,0.09847303,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.038,2851664000000.0,0.0,0.0,0.2859066,127.1672,5.018998,1.0,1.038,94265570000.0,0.0,0.0,0.1227961,105.2806,0.09520035,2.0,1.038,2.27,0.0,0.0,0.1033374,-173.5039,0.0,202.90795594634986
745,5.0,25.17,22.83258,1.030378,0.4354743,0.0,-1.0,22.01949,3.0,1.59,0.02022688,0.01945268,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.067,10127990000000.0,0.0,0.0,0.1648194,130.7637,7.727846,1.0,1.067,102545400000.0,0.0,0.0,0.4291867,162.9099,0.05730229,2.0,1.067,1.59,0.0,0.0,0.03011181,88.967,0.0,271.7729731276715
746,3.0,20.75,21.11969,2.272863,1.027661,0.0,-1.0,19.98573,1.0,3.04,-0.1954967,-0.6185652,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.909,6889717000000.0,0.0,0.0,0.3604714,-124.8576,8.913823,1.0,0.909,93836100000.0,0.0,0.0,0.2837532,-125.4574,0.1280943,2.0,0.909,3.04,0.0,0.0,0.03782185,57.55646,0.0,196.44616506454207
747,3.0,20.71,20.78811,3.355096,1.004567,0.0,-1.0,19.76371,1.0,1.52,0.9258957,-0.1524771,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.411,17113930000000.0,0.0,0.0,0.2724925,173.8963,8.43452,1.0,0.411,187040700000.0,0.0,0.0,0.6963979,162.335,0.1867093,2.0,0.411,1.52,0.0,0.0,0.06251562,114.5498,0.0,255.95585071067532
749,3.0,21.45,20.9205,0.9642175,0.4208484,0.0,-1.0,20.68096,1.0,2.65,-0.1915541,-0.07050112,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.9,1443100000000.0,0.0,0.0,0.386631,-6.886478,7.551729,1.0,0.9,51531650000.0,0.0,0.0,0.0447444,-11.81974,0.1353816,2.0,0.9,2.65,0.0,0.0,0.05342813,-148.4774,0.0,139.98283139529786
751,3.0,22.65,23.0105,1.182717,0.5423579,0.0,-1.0,21.66408,1.0,2.19,0.3184285,-0.1023584,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.702,4589787000000.0,0.0,0.0,0.04536717,175.1371,5.367215,1.0,0.702,80786340000.0,0.0,0.0,0.1822739,206.8627,0.221982,2.0,0.702,2.19,0.0,0.0,0.03638625,27.0911,0.0,146.0926179985038
753,3.0,20.21,19.97726,3.40569,1.675006,0.0,-1.0,19.29773,1.0,1.52,0.05233408,0.5499853,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.59,51271420000000.0,0.0,0.0,0.5131283,101.1963,4.884247,1.0,0.59,315975000000.0,0.0,0.0,0.4447508,127.8483,0.322598,2.0,0.59,1.52,0.0,0.0,0.0401483,105.4876,0.0,245.33461665278122
755,5.0,21.59,19.51414,0.9257199,0.4284643,0.0,-1.0,18.75105,3.0,1.97,-0.05371383,-0.0978572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.015,4432685000000.0,0.0,0.0,0.3649169,-35.67489,6.804428,1.0,1.015,68679340000.0,0.0,0.0,0.3589742,-29.10089,0.07360772,2.0,1.015,1.97,0.0,0.0,0.03348879,-177.55,0.0,200.14475095033075
756,3.0,21.67,21.59048,2.025717,1.147986,0.0,-1.0,20.27253,3.0,3.23,-0.04318491,-0.4207646,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.286,4400537000000.0,0.0,0.0,0.1357047,-160.2512,6.576311,1.0,0.286,111799800000.0,0.0,0.0,0.2103024,-103.3526,0.3269631,2.0,0.286,3.23,0.0,0.0,0.06517196,-21.82484,0.0,170.97516728593078
758,3.0,21.11,22.78435,1.065656,0.4110561,0.0,-1.0,20.42243,1.0,2.01,-0.1272331,0.4114147,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.663,1085581000000.0,0.0,0.0,0.4538887,165.3031,6.448472,1.0,0.663,61487640000.0,0.0,0.0,0.3333434,174.0259,0.1131183,2.0,0.663,2.01,0.0,0.0,0.0463092,58.71913,0.0,162.3763621560802
761,3.0,23.35,22.55882,1.911417,0.6423894,0.0,-1.0,22.3628,1.0,2.58,0.3965511,0.03882987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.27,44531670000000.0,0.0,0.0,0.5120642,-158.1763,2.772032,1.0,1.27,178494600000.0,0.0,0.0,0.4323851,-187.2216,0.1277309,2.0,1.27,2.58,0.0,0.0,0.02836462,-73.01712,0.0,241.78162156447428
764,5.0,22.61,21.34189,1.85718,1.485619,0.0,-1.0,20.46695,3.0,1.82,-0.07815282,0.08726841,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.426,3437325000000.0,0.0,0.0,0.4880749,-105.6151,8.825546,1.0,0.426,108369200000.0,0.0,0.0,0.5559796,-91.6341,0.08111683,2.0,0.426,1.82,0.0,0.0,0.01937093,165.9925,0.0,277.5540734593594
765,3.0,21.41,22.71941,0.7416266,0.3729598,0.0,-1.0,20.44337,1.0,2.13,-0.0473113,-0.3102923,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.595,947858400000.0,0.0,0.0,0.3469226,148.4515,8.617501,1.0,0.595,31475810000.0,0.0,0.0,0.03420361,141.528,0.1400572,2.0,0.595,2.13,0.0,0.0,0.04000676,-5.248872,0.0,116.82703282526822
769,3.0,22.13,23.08322,1.357164,0.4256069,0.0,-1.0,21.47283,1.0,2.14,-0.5479792,-0.02159373,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.725,4796781000000.0,0.0,0.0,0.2074147,-73.3905,3.453879,1.0,0.725,115593900000.0,0.0,0.0,0.6873467,-152.0474,0.1697142,2.0,0.725,2.14,0.0,0.0,0.09768703,126.7943,0.0,179.0220400256329
770,3.0,23.47,22.63337,1.581878,0.7661298,0.0,-1.0,22.04071,3.0,1.82,-0.1776649,0.1480351,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.682,27100650000000.0,0.0,0.0,0.2219927,-168.9465,3.898325,1.0,0.682,133779500000.0,0.0,0.0,0.07258395,-125.231,0.3533884,2.0,0.682,1.82,0.0,0.0,0.05467004,-17.6935,0.0,165.67521727221958
772,3.0,21.57,22.51685,0.2442532,0.1408358,0.0,-1.0,21.15556,1.0,4.01,0.01177809,0.09826875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.697,825092100000.0,0.0,0.0,0.4603233,110.4774,2.905955,1.0,2.697,14595520000.0,0.0,0.0,0.3807272,94.40604,0.03941152,2.0,2.697,4.01,0.0,0.0,0.01573304,-88.71373,0.0,125.95535282106184
773,3.0,20.53,22.12948,1.790396,0.6261968,0.0,-1.0,20.07554,1.0,1.79,0.3207958,-0.6495013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.51,3980862000000.0,0.0,0.0,0.3380294,-57.89102,6.541111,1.0,0.51,77814410000.0,0.0,0.0,0.3626821,-26.84489,0.1196618,2.0,0.51,1.79,0.0,0.0,0.06412935,-54.71224,0.0,189.00365217703686
774,3.0,20.85,19.65233,0.8942765,0.4544611,0.0,-1.0,19.52391,3.0,2.86,0.04848125,-0.03396525,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.677,1694357000000.0,0.0,0.0,0.3297696,-56.21858,6.902383,1.0,0.677,51666110000.0,0.0,0.0,0.2558845,-14.75345,0.1508486,2.0,0.677,2.86,0.0,0.0,0.1055132,-165.4715,0.0,136.67977536600327
776,3.0,21.63,22.71864,1.555127,0.7744765,0.0,-1.0,20.93498,1.0,2.23,0.5176182,-0.09062621,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.556,4083071000000.0,0.0,0.0,0.05275568,87.16054,3.764925,1.0,0.556,98917990000.0,0.0,0.0,0.1551068,108.3795,0.1435437,2.0,0.556,2.23,0.0,0.0,0.02094508,133.9911,0.0,187.6853104866881
779,3.0,21.61,22.46606,0.385949,0.1405947,0.0,-1.0,21.19051,1.0,2.47,0.1469511,-0.01564838,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.874,3287449000000.0,0.0,0.0,0.2847836,9.754805,2.902314,1.0,1.874,41460310000.0,0.0,0.0,0.356674,12.68328,0.05659921,2.0,1.874,2.47,0.0,0.0,0.06037578,149.2887,0.0,170.56179511824234
785,2.0,22.37,22.8845,1.210089,0.7352019,0.0,-1.0,21.75745,1.0,2.74,-0.1548789,-0.3381158,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.55,945942500000.0,0.0,0.0,0.4489113,49.00741,12.52615,1.0,0.55,37811750000.0,0.0,0.0,0.5721845,74.97521,0.05225036,2.0,0.55,2.74,0.0,0.0,0.08233099,-179.2873,0.0,193.05178117885504
787,3.0,23.01,22.55694,0.1388262,0.06809058,0.0,-1.0,22.19299,1.0,2.62,-0.02621243,0.008101524,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.126,612429600000.0,0.0,0.0,0.272905,31.42044,4.234708,1.0,2.126,9302710000.0,0.0,0.0,0.317622,127.914,0.02440772,2.0,2.126,2.62,0.0,0.0,0.05283131,-160.9424,0.0,123.406677100766
788,3.0,20.07,19.81184,0.7104384,0.3638647,0.0,-1.0,19.21881,1.0,0.93,0.1671747,0.07397084,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.222,641203000000.0,0.0,0.0,0.2409138,-156.3289,11.63849,1.0,0.222,21423700000.0,0.0,0.0,0.2553158,-127.9508,0.2649147,2.0,0.222,0.93,0.0,0.0,0.03737266,-95.38207,0.0,100.36768099169012
795,3.0,21.43,21.65331,0.9343599,0.4314881,0.0,-1.0,20.86432,1.0,2.1,-0.1198088,-0.2393451,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.247,638063600000.0,0.0,0.0,0.1353833,-162.0731,7.928731,1.0,0.247,22893350000.0,0.0,0.0,0.108093,-134.9932,0.1824917,2.0,0.247,2.1,0.0,0.0,0.06610769,-129.0074,0.0,107.48134904857565
797,5.0,23.41,22.06395,2.712613,1.030721,0.0,-1.0,21.24975,3.0,3.96,0.2403519,0.1530644,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.117,2465544000000.0,0.0,0.0,0.2765204,25.89282,4.800958,1.0,0.117,95795840000.0,0.0,0.0,0.4300611,21.77398,0.4161136,2.0,0.117,3.96,0.0,0.0,0.08055532,56.06698,0.0,187.76131421601613
798,3.0,21.95,23.07287,1.162949,0.6322933,0.0,-1.0,21.42276,1.0,1.58,0.22491,0.3958449,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.513,1380828000000.0,0.0,0.0,0.370128,-128.3188,11.71817,1.0,0.513,37616800000.0,0.0,0.0,0.4524299,-101.7898,0.09196865,2.0,0.513,1.58,0.0,0.0,0.005982034,-133.9744,0.0,154.6935518916322
799,3.0,20.91,21.21543,1.639473,0.7968147,0.0,-1.0,19.98366,1.0,1.56,-0.3919196,-0.1451731,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.75,14965050000000.0,0.0,0.0,0.2270772,-156.6886,3.85758,1.0,0.75,166848900000.0,0.0,0.0,0.195777,-126.5033,0.1346717,2.0,0.75,1.56,0.0,0.0,0.04306363,87.64589,0.0,237.7000776118404
800,3.0,20.41,19.96256,1.673075,0.9119186,0.0,-1.0,18.71895,3.0,0.87,0.2613914,0.1295518,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.524,17052180000000.0,0.0,0.0,0.2904726,-92.23941,9.28973,1.0,0.524,184611900000.0,0.0,0.0,0.08262313,-84.06145,0.3048243,2.0,0.524,0.87,0.0,0.0,0.03908684,-4.785776,0.0,219.7474154744012
802,3.0,22.93,21.58518,2.195664,0.7980932,0.0,-1.0,20.94801,3.0,3.71,0.1044144,0.1960786,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.204,21181410000000.0,0.0,0.0,0.2838148,-49.96581,4.282978,1.0,1.204,119408300000.0,0.0,0.0,0.5739469,-29.12152,0.1653931,2.0,1.204,3.71,0.0,0.0,0.1561672,-132.6142,0.0,191.14852164644122
